名称,化学式,分子量,类型,描述
次氯酸钠,NaClO,74.44,无机化合物,漂白剂，消毒液
亚硫酸钠,Na2SO3,126.04,无机化合物,还原剂，漂白剂
硫代硫酸钠,Na2S2O3,158.11,无机化合物,定影剂，解毒剂
磷酸二氢钠,NaH2PO4,119.98,无机化合物,缓冲剂
磷酸氢二钠,Na2HPO4,141.96,无机化合物,缓冲剂
磷酸三钠,Na3PO4,163.94,无机化合物,清洁剂，软水剂
焦磷酸钠,Na4P2O7,265.90,无机化合物,食品添加剂
硼酸,H3BO3,61.83,无机化合物,防腐剂，医药
硼砂,Na2B4O7·10H2O,381.37,无机化合物,洗涤剂，玻璃原料
偏硼酸钠,NaBO2,65.80,无机化合物,漂白剂
氢氧化铝,Al(OH)3,78.00,无机化合物,抗酸剂，阻燃剂
氢氧化铁,Fe(OH)3,106.87,无机化合物,净水剂
氢氧化铜,Cu(OH)2,97.56,无机化合物,杀菌剂
氢氧化锌,Zn(OH)2,99.40,无机化合物,橡胶添加剂
氰化钠,NaCN,49.01,无机化合物,剧毒，冶金
氰化钾,KCN,65.12,无机化合物,剧毒，冶金
硫氰酸钾,KSCN,97.18,无机化合物,检验铁离子
氰化氢,HCN,27.03,无机化合物,剧毒气体
氨水,NH3·H2O,35.05,无机化合物,碱性溶液
联氨,N2H4,32.05,无机化合物,火箭燃料
羟胺,NH2OH,33.03,无机化合物,还原剂
磷化氢,PH3,34.00,无机化合物,剧毒，电子工业
砷化氢,AsH3,77.95,无机化合物,剧毒
乙烷,C2H6,30.07,有机化合物,天然气组分
丙烷,C3H8,44.10,有机化合物,液化气
丁烷,C4H10,58.12,有机化合物,打火机燃料
戊烷,C5H12,72.15,有机化合物,溶剂
己烷,C6H14,86.18,有机化合物,溶剂
庚烷,C7H16,100.20,有机化合物,溶剂
辛烷,C8H18,114.23,有机化合物,汽油成分
乙烯,C2H4,28.05,有机化合物,催熟剂，塑料原料
丙烯,C3H6,42.08,有机化合物,聚丙烯原料
丁二烯,C4H6,54.09,有机化合物,合成橡胶
异戊二烯,C5H8,68.12,有机化合物,天然橡胶单体
苯乙烯,C6H5CHCH2,104.15,有机化合物,聚苯乙烯原料
甲苯,C6H5CH3,92.14,有机化合物,溶剂，炸药原料
二甲苯,C8H10,106.17,有机化合物,溶剂，三种异构体
萘,C10H8,128.17,有机化合物,樟脑丸成分
蒽,C14H10,178.23,有机化合物,染料原料
菲,C14H10,178.23,有机化合物,甾族母核
芘,C16H10,202.25,有机化合物,多环芳烃
苯并[a]芘,C20H12,252.31,有机化合物,强致癌物
氯甲烷,CH3Cl,50.49,有机化合物,甲基化试剂
二氯甲烷,CH2Cl2,84.93,有机化合物,溶剂
三氯甲烷,CHCl3,119.38,有机化合物,麻醉剂，溶剂
四氯化碳,CCl4,153.82,有机化合物,溶剂，灭火剂
氯乙烷,C2H5Cl,64.51,有机化合物,局部麻醉剂
氯乙烯,C2H3Cl,62.50,有机化合物,PVC单体
三氯乙烯,C2HCl3,131.39,有机化合物,金属脱脂剂
四氯乙烯,C2Cl4,165.83,有机化合物,干洗剂
溴甲烷,CH3Br,94.94,有机化合物,杀虫剂
溴乙烷,C2H5Br,108.97,有机化合物,乙基化试剂
碘甲烷,CH3I,141.94,有机化合物,甲基化试剂
碘仿,CHI3,393.73,有机化合物,消毒剂
氟利昂-12,CCl2F2,120.91,有机化合物,制冷剂，破坏臭氧
甲醇,CH3OH,32.04,有机化合物,工业溶剂
乙醇,C2H5OH,46.07,有机化合物,食用酒精
正丙醇,C3H7OH,60.10,有机化合物,溶剂
异丙醇,(CH3)2CHOH,60.10,有机化合物,消毒剂
正丁醇,C4H9OH,74.12,有机化合物,溶剂
异丁醇,(CH3)2CHCH2OH,74.12,有机化合物,溶剂
仲丁醇,CH3CH(OH)CH2CH3,74.12,有机化合物,溶剂
叔丁醇,(CH3)3COH,74.12,有机化合物,溶剂
乙二醇,HOCH2CH2OH,62.07,有机化合物,防冻液
丙三醇,HOCH2CH(OH)CH2OH,92.09,有机化合物,甘油，保湿
季戊四醇,C(CH2OH)4,136.15,有机化合物,涂料原料
苯甲醇,C6H5CH2OH,108.14,有机化合物,香料
苯乙醇,C6H5CH2CH2OH,122.16,有机化合物,香料
甲醚,CH3OCH3,46.07,有机化合物,气体，麻醉剂
乙醚,C2H5OC2H5,74.12,有机化合物,溶剂，麻醉剂
环氧乙烷,C2H4O,44.05,有机化合物,消毒剂，化工中间体
四氢呋喃,C4H8O,72.11,有机化合物,溶剂
二氧六环,C4H8O2,88.11,有机化合物,溶剂
甲醛,HCHO,30.03,有机化合物,防腐剂
乙醛,CH3CHO,44.05,有机化合物,化工原料
丙醛,CH3CH2CHO,58.08,有机化合物,化工原料
丁醛,CH3CH2CH2CHO,72.11,有机化合物,化工原料
苯甲醛,C6H5CHO,106.12,有机化合物,杏仁味香料
丙酮,CH3COCH3,58.08,有机化合物,溶剂
丁酮,CH3COCH2CH3,72.11,有机化合物,溶剂
环己酮,C6H10O,98.15,有机化合物,化工原料
苯乙酮,C6H5COCH3,120.15,有机化合物,香料
甲酸,HCOOH,46.03,有机化合物,蚁酸
乙酸,CH3COOH,60.05,有机化合物,醋酸
丙酸,CH3CH2COOH,74.08,有机化合物,防腐剂
丁酸,CH3CH2CH2COOH,88.11,有机化合物,汗臭味
戊酸,CH3CH2CH2CH2COOH,102.13,有机化合物,香料
己酸,CH3(CH2)4COOH,116.16,有机化合物,羊油味
辛酸,CH3(CH2)6COOH,144.21,有机化合物,油脂成分
癸酸,CH3(CH2)8COOH,172.26,有机化合物,油脂成分
软脂酸,CH3(CH2)14COOH,256.43,有机化合物,棕榈酸
硬脂酸,CH3(CH2)16COOH,284.48,有机化合物,蜡烛原料
油酸,C18H34O2,282.46,有机化合物,不饱和脂肪酸
亚油酸,C18H32O2,280.45,有机化合物,必需脂肪酸
草酸,HOOCCOOH,90.03,有机化合物,菠菜中，除锈
丙二酸,HOOCCH2COOH,104.06,有机化合物,化工原料
丁二酸,HOOCCH2CH2COOH,118.09,有机化合物,琥珀酸
己二酸,HOOC(CH2)4COOH,146.14,有机化合物,尼龙原料
酒石酸,HOOCCH(OH)CH(OH)COOH,150.09,有机化合物,葡萄酒成分
柠檬酸,C6H8O7,192.12,有机化合物,水果酸味
苹果酸,C4H6O5,134.09,有机化合物,苹果酸味
乳酸,C3H6O3,90.08,有机化合物,酸奶，肌肉酸痛
苯甲酸,C6H5COOH,122.12,有机化合物,防腐剂
水杨酸,C6H4(OH)COOH,138.12,有机化合物,阿司匹林中间体
邻苯二甲酸,C6H4(COOH)2,166.13,有机化合物,塑料增塑剂
甲酸甲酯,HCOOCH3,60.05,有机化合物,溶剂
乙酸乙酯,CH3COOC2H5,88.11,有机化合物,溶剂，果香
乙酸丁酯,CH3COOC4H9,116.16,有机化合物,溶剂
乙酸异戊酯,CH3COOCH2CH2CH(CH3)2,130.19,有机化合物,香蕉水
丙烯酸甲酯,CH2CHCOOCH3,86.09,有机化合物,聚合物单体
甲基丙烯酸甲酯,CH2C(CH3)COOCH3,100.12,有机化合物,有机玻璃
苯甲酸甲酯,C6H5COOCH3,136.15,有机化合物,香料
水杨酸甲酯,C6H4(OH)COOCH3,152.15,有机化合物,冬青油
邻苯二甲酸二丁酯,C6H4(COOC4H9)2,278.34,有机化合物,增塑剂
邻苯二甲酸二辛酯,C6H4(COOC8H17)2,390.56,有机化合物,增塑剂
甲胺,CH3NH2,31.06,有机化合物,化工原料
二甲胺,(CH3)2NH,45.08,有机化合物,化工原料
三甲胺,(CH3)3N,59.11,有机化合物,鱼腥味
乙胺,C2H5NH2,45.08,有机化合物,化工原料
二乙胺,(C2H5)2NH,73.14,有机化合物,化工原料
三乙胺,(C2H5)3N,101.19,有机化合物,有机碱
苯胺,C6H5NH2,93.13,有机化合物,染料中间体
对苯二胺,C6H4(NH2)2,108.14,有机化合物,染发剂
乙二胺,H2NCH2CH2NH2,60.10,有机化合物,螯合剂
己二胺,H2N(CH2)6NH2,116.20,有机化合物,尼龙原料
乙醇胺,HOCH2CH2NH2,61.08,有机化合物,乳化剂
二乙醇胺,(HOCH2CH2)2NH,105.14,有机化合物,乳化剂
三乙醇胺,(HOCH2CH2)3N,149.19,有机化合物,乳化剂
乙酰胺,CH3CONH2,59.07,有机化合物,溶剂
苯甲酰胺,C6H5CONH2,121.14,有机化合物,医药中间体
尿素,CO(NH2)2,60.06,有机化合物,化肥
硫脲,CS(NH2)2,76.12,有机化合物,照相定影剂
硝基甲烷,CH3NO2,61.04,有机化合物,溶剂
硝基苯,C6H5NO2,123.11,有机化合物,化工原料
三硝基甲苯,TNT,C7H5N3O6,227.13,有机化合物,炸药
吡啶,C5H5N,79.10,有机化合物,溶剂，医药中间体
嘧啶,C4H4N2,80.09,有机化合物,核酸碱基母核
嘌呤,C5H4N4,120.11,有机化合物,核酸碱基母核
喹啉,C9H7N,129.16,有机化合物,医药中间体
吲哚,C8H7N,117.15,有机化合物,粪便臭味
咪唑,C3H4N2,68.08,有机化合物,医药中间体
噻吩,C4H4S,84.14,有机化合物,煤焦油成分
呋喃,C4H4O,68.07,有机化合物,溶剂
四氢呋喃,C4H8O,72.11,有机化合物,溶剂
1,4-二氧六环,C4H8O2,88.11,有机化合物,溶剂
环氧丙烷,C3H6O,58.08,有机化合物,聚氨酯原料
己内酰胺,C6H11NO,113.16,有机化合物,尼龙-6单体
丙烯腈,CH2CHCN,53.06,有机化合物,腈纶单体
甲基丙烯腈,CH2C(CH3)CN,67.09,有机化合物,聚合物
氯丙烯,CH2CHCH2Cl,76.53,有机化合物,杀虫剂
烯丙醇,CH2CHCH2OH,58.08,有机化合物,化工原料
糖精,C7H5NO3S,183.18,有机化合物,甜味剂
阿司匹林,C9H8O4,180.16,有机化合物,解热镇痛药
对乙酰氨基酚,C8H9NO2,151.16,有机化合物,扑热息痛
布洛芬,C13H18O2,206.28,有机化合物,镇痛抗炎药
咖啡因,C8H10N4O2,194.19,有机化合物,兴奋剂
尼古丁,C10H14N2,162.23,有机化合物,烟草成分
吗啡,C17H19NO3,285.34,有机化合物,镇痛药
可待因,C18H21NO3,299.36,有机化合物,镇咳药
奎宁,C20H24N2O2,324.42,有机化合物,抗疟药
青霉素,C16H18N2O4S,334.39,有机化合物,抗生素
头孢氨苄,C16H17N3O4S,347.39,有机化合物,抗生素
维生素C,C6H8O6,176.12,有机化合物,抗坏血酸
维生素A,C20H30O,286.45,有机化合物,视黄醇
维生素D2,C28H44O,396.65,有机化合物,麦角钙化醇
维生素E,C29H50O2,430.71,有机化合物,生育酚
维生素K1,C31H46O2,450.70,有机化合物,凝血维生素
叶酸,C19H19N7O6,441.40,有机化合物,维生素B9
葡萄糖,C6H12O6,180.16,有机化合物,单糖
果糖,C6H12O6,180.16,有机化合物,水果糖
蔗糖,C12H22O11,342.30,有机化合物,食糖
乳糖,C12H22O11,342.30,有机化合物,牛奶中的糖
麦芽糖,C12H22O11,342.30,有机化合物,饴糖
淀粉,(C6H10O5)n,162.14(n),有机化合物,多糖
纤维素,(C6H10O5)n,162.14(n),有机化合物,植物细胞壁
壳聚糖,(C6H11NO4)n,161.16(n),有机化合物,甲壳素衍生物
亚硫酸,H2SO3,82.08,无机化合物,弱酸，还原性，可漂白
碳酸,H2CO3,62.03,无机化合物,弱酸，二氧化碳溶于水生成
次氯酸,HClO,52.46,无机化合物,弱酸，消毒漂白
高氯酸,HClO4,100.46,无机化合物,强酸，强氧化剂
氯酸,HClO3,84.46,无机化合物,强酸，氧化剂
亚氯酸,HClO2,68.46,无机化合物,弱酸，消毒剂
次溴酸,HBrO,96.91,无机化合物,弱酸，消毒剂
亚硝酸,HNO2,47.01,无机化合物,弱酸，防腐剂
亚磷酸,H3PO3,82.00,无机化合物,还原剂，化工中间体
次磷酸,H3PO2,66.00,无机化合物,还原剂
焦硫酸,H2S2O7,178.14,无机化合物,发烟硫酸成分
过二硫酸,H2S2O8,194.13,无机化合物,强氧化剂
过一硫酸,H2SO5,114.07,无机化合物,消毒剂，氧化剂
硫代硫酸,H2S2O3,114.13,无机化合物,不稳定弱酸，定影
氨基磺酸,H3NO3S,97.09,无机化合物,固体酸，清洗剂
碳酸氢铵,NH4HCO3,79.06,无机化合物,化肥，膨松剂
硫酸氢钠,NaHSO4,120.06,无机化合物,酸性盐，清洗剂
硫酸氢钾,KHSO4,136.16,无机化合物,酸性盐，催化剂
亚硫酸氢钠,NaHSO3,104.06,无机化合物,还原剂，漂白剂
焦亚硫酸钠,Na2S2O5,190.10,无机化合物,还原剂，防腐剂
硫代硫酸铵,(NH4)2S2O3,148.20,无机化合物,定影剂
氯化亚铁,FeCl2,126.75,无机化合物,还原剂，净水剂
硫酸铁,Fe2(SO4)3,399.86,无机化合物,净水剂，媒染剂
硫酸铝,Al2(SO4)3,342.15,无机化合物,净水剂，造纸施胶
磷酸钙,Ca3(PO4)2,310.18,无机化合物,骨骼成分，磷肥
磷酸二氢钙,Ca(H2PO4)2,234.05,无机化合物,磷肥，食品添加剂
磷酸氢钙,CaHPO4,136.06,无机化合物,牙膏，饲料添加剂
磷酸铵,(NH4)3PO4,149.09,无机化合物,化肥
磷酸氢二铵,(NH4)2HPO4,132.06,无机化合物,化肥，阻燃剂
磷酸二氢铵,NH4H2PO4,115.03,无机化合物,化肥，灭火剂
碳酸铵,(NH4)2CO3,96.09,无机化合物,化肥，发酵剂
硫化铵,(NH4)2S,68.14,无机化合物,分析试剂
碳酸镁,MgCO3,84.31,无机化合物,抗酸剂，耐火材料
硫酸氢铵,NH4HSO4,115.10,无机化合物,化肥，电池电解液
氯化亚铜,CuCl,99.00,无机化合物,催化剂，颜料
氧化亚铜,Cu2O,143.09,无机化合物,红色颜料，杀菌剂
氧化铜,CuO,79.55,无机化合物,黑色颜料，催化剂
氧化银,Ag2O,231.74,无机化合物,氧化剂，电池材料
氧化铅,PbO,223.20,无机化合物,黄色颜料，玻璃
二氧化铅,PbO2,239.20,无机化合物,氧化剂，铅酸电池
四氧化三铅,Pb3O4,685.60,无机化合物,铅丹，防锈颜料
氧化汞,HgO,216.59,无机化合物,红色颜料，催化剂
氯化汞,HgCl2,271.50,无机化合物,剧毒，消毒剂
氯化亚汞,Hg2Cl2,472.09,无机化合物,甘汞，电极材料
硫酸汞,HgSO4,296.65,无机化合物,催化剂
硝酸铅,Pb(NO3)2,331.21,无机化合物,氧化剂，颜料
醋酸铅,Pb(CH3COO)2,325.29,有机化合物,铅盐，颜料
铬酸铅,PbCrO4,323.19,无机化合物,黄色颜料
重铬酸铵,(NH4)2Cr2O7,252.06,无机化合物,氧化剂，火山实验
高锰酸钠,NaMnO4,141.92,无机化合物,氧化剂
锰酸钾,K2MnO4,197.13,无机化合物,氧化剂
高铁酸钾,K2FeO4,198.04,无机化合物,消毒剂，氧化剂
铁氰化钾,K3[Fe(CN)6],329.25,无机化合物,检验亚铁离子
亚铁氰化钾,K4[Fe(CN)6],368.35,无机化合物,抗结剂
硼氢化钠,NaBH4,37.83,无机化合物,还原剂
氢化铝锂,LiAlH4,37.95,无机化合物,强还原剂
氢化钙,CaH2,42.09,无机化合物,干燥剂，氢源
碳化钙,CaC2,64.10,无机化合物,电石，制乙炔
氮化硅,Si3N4,140.28,无机化合物,陶瓷材料
碳化硅,SiC,40.10,无机化合物,磨料，半导体
二氧化氮,NO2,46.01,无机化合物,红棕色气体，污染物
一氧化氮,NO,30.01,无机化合物,信号分子，污染物
一氧化二氮,N2O,44.01,无机化合物,笑气，麻醉剂
四氧化二氮,N2O4,92.01,无机化合物,火箭推进剂
五氧化二磷,P2O5,141.94,无机化合物,干燥剂，脱水剂
三氯化磷,PCl3,137.32,无机化合物,化工原料
五氯化磷,PCl5,208.22,无机化合物,氯化剂
三氯氧磷,POCl3,153.32,无机化合物,化工原料
二硫化碳,CS2,76.13,无机化合物,溶剂，化工原料
硫酰氯,SO2Cl2,134.96,无机化合物,氯化剂
亚硫酰氯,SOCl2,118.96,无机化合物,氯化剂
氯磺酸,HSO3Cl,116.52,无机化合物,磺化剂
氨基钠,NaNH2,39.01,无机化合物,强碱，有机合成
过氧化钠,Na2O2,77.98,无机化合物,氧化剂，供氧剂
过氧化钾,K2O2,110.19,无机化合物,氧化剂
超氧化钾,KO2,71.10,无机化合物,供氧剂
过氧化钡,BaO2,169.33,无机化合物,氧化剂
过氧化钙,CaO2,72.08,无机化合物,增氧剂
过氧化镁,MgO2,56.30,无机化合物,氧化剂
氢化钠,NaH,24.00,无机化合物,强碱，还原剂
氢化钾,KH,40.11,无机化合物,还原剂
氢化锂,LiH,7.95,无机化合物,氢源
氨硼烷,NH3BH3,30.87,无机化合物,储氢材料
叠氮化钠,NaN3,65.01,无机化合物,安全气囊，剧毒
叠氮酸,HN3,43.03,无机化合物,剧毒，爆炸性
三氯化氮,NCl3,120.36,无机化合物,爆炸性氯化物
四氟化碳,CF4,88.00,有机化合物,卤代烃，温室气体
四氟乙烯,C2F4,100.02,有机化合物,特氟龙单体
六氟化硫,SF6,146.06,无机化合物,绝缘气体
三氟化硼,BF3,67.81,无机化合物,路易斯酸，催化剂
四氟硼酸,HBF4,87.81,无机化合物,强酸
六氟磷酸锂,LiPF6,151.90,无机化合物,锂电池电解质
碳酸丙烯酯,C4H6O3,102.09,有机化合物,电池溶剂
碳酸二甲酯,C3H6O3,90.08,有机化合物,绿色溶剂
碳酸二乙酯,C5H10O3,118.13,有机化合物,溶剂
甲酸乙酯,C3H6O2,74.08,有机化合物,溶剂，香料
丙酸乙酯,C5H10O2,102.13,有机化合物,果香香料
丁酸乙酯,C6H12O2,116.16,有机化合物,果香香料
乳酸乙酯,C5H10O3,118.13,有机化合物,香料，溶剂
乙酰乙酸乙酯,C6H10O3,130.14,有机化合物,化工中间体
乙酸酐,(CH3CO)2O,102.09,有机化合物,乙酰化剂
顺丁烯二酸酐,C4H2O3,98.06,有机化合物,不饱和聚酯原料
邻苯二甲酸酐,C8H4O3,148.12,有机化合物,增塑剂原料
苯磺酸,C6H5SO3H,158.18,有机化合物,酸催化剂
对甲苯磺酸,C7H8O3S,172.20,有机化合物,酸催化剂
乙硫醇,C2H5SH,62.13,有机化合物,臭味剂
甲硫醇,CH3SH,48.11,有机化合物,臭味剂
二甲基亚砜,(CH3)2SO,78.13,有机化合物,极性溶剂
二甲基甲酰胺,HCON(CH3)2,73.09,有机化合物,极性溶剂
乙腈,CH3CN,41.05,有机化合物,溶剂
吡咯,C4H5N,67.09,有机化合物,杂环化合物
吡唑,C3H4N2,68.08,有机化合物,杂环化合物
噻唑,C3H3NS,85.13,有机化合物,杂环化合物
恶唑,C3H3NO,69.06,有机化合物,杂环化合物
三聚氰胺,C3H6N6,126.12,有机化合物,阻燃剂，塑料
氰胺,H2NCN,42.04,有机化合物,化工原料
双氰胺,C2H4N4,84.08,有机化合物,化肥，医药中间体
偶氮二异丁腈,C8H12N4,164.21,有机化合物,自由基引发剂
过氧化苯甲酰,C14H10O4,242.23,有机化合物,自由基引发剂
甘氨酸,C2H5NO2,75.07,有机化合物,最简单氨基酸
丙氨酸,C3H7NO2,89.09,有机化合物,氨基酸
丝氨酸,C3H7NO3,105.09,有机化合物,氨基酸
半胱氨酸,C3H7NO2S,121.16,有机化合物,含硫氨基酸
甲硫氨酸,C5H11NO2S,149.21,有机化合物,含硫氨基酸
赖氨酸,C6H14N2O2,146.19,有机化合物,必需氨基酸
谷氨酸,C5H9NO4,147.13,有机化合物,鲜味氨基酸
天冬氨酸,C4H7NO4,133.10,有机化合物,氨基酸
苯丙氨酸,C9H11NO2,165.19,有机化合物,必需氨基酸
酪氨酸,C9H11NO3,181.19,有机化合物,氨基酸
色氨酸,C11H12N2O2,204.23,有机化合物,必需氨基酸
组氨酸,C6H9N3O2,155.16,有机化合物,氨基酸
脯氨酸,C5H9NO2,115.13,有机化合物,氨基酸
苏氨酸,C4H9NO3,119.12,有机化合物,必需氨基酸
精氨酸,C6H14N4O2,174.20,有机化合物,氨基酸
腺嘌呤,C5H5N5,135.13,有机化合物,核酸碱基
鸟嘌呤,C5H5N5O,151.13,有机化合物,核酸碱基
胞嘧啶,C4H5N3O,111.10,有机化合物,核酸碱基
胸腺嘧啶,C5H6N2O2,126.11,有机化合物,核酸碱基
尿嘧啶,C4H4N2O2,112.09,有机化合物,核酸碱基
核糖,C5H10O5,150.13,有机化合物,RNA成分
脱氧核糖,C5H10O4,134.13,有机化合物,DNA成分
